,AR,ARMA,ELM,AR+ELM,ARMA+ELM,MLP,AR+MLP,ARMA+MLP,ESN,AR+ESN,ARMA+ESN,RBF,AR+RBF,ARMA+RBF,Ensemble - Mediana (ML),Ensemble - Mediana (RNAs),Ensemble - Mediana (RNAs sem RBF),Ensemble - Mediana (MU),Ensemble - Mediana (MU sem RBF),Ensemble - Mediana (todos),Ensemble - Média (ML),Ensemble - Média (RNAs),Ensemble - Média (RNAs sem RBF),Ensemble - Média (MU),Ensemble - Média (MU sem RBF),Ensemble - Média (todos)
0,0.38936016,0.38551713,0.288183059,0.346891311,0.339462026,0.328656459,0.387094646,0.395566884,0.287811241,0.333910253,0.308940799,0.967456282,0.327302192,0.334295239,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
1,0.38936016,0.38551713,0.29082033,0.351030781,0.343015177,0.327558353,0.38942016,0.394039426,0.426905393,0.313052401,0.32291822,1.057070897,0.330321635,0.318334112,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
2,0.38936016,0.38551713,0.286784875,0.344766426,0.337362307,0.327533834,0.394062351,0.398616487,0.290111298,0.348788831,0.314135898,0.93698912,0.321151304,0.335571993,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
3,0.38936016,0.38551713,0.286982348,0.344678252,0.353466695,0.339287171,0.395447883,0.395794322,0.313374821,0.334489441,0.328512654,1.055673591,0.334600626,0.337400478,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
4,0.38936016,0.38551713,0.288189876,0.345279748,0.340055359,0.326729664,0.392562733,0.39234238,0.286263841,0.318516355,0.313990556,0.951298472,0.330452922,0.340896471,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
5,0.38936016,0.38551713,0.287394736,0.346898054,0.346822802,0.342222527,0.392261862,0.394451741,0.292427786,0.318598477,0.333492541,0.951620494,0.330474075,0.336427709,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
6,0.38936016,0.38551713,0.287012535,0.352265695,0.336662849,0.337234107,0.39134883,0.39372068,0.340757984,0.303492178,0.322080846,0.988258132,0.327153296,0.329760862,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
7,0.38936016,0.38551713,0.288035133,0.344651216,0.337702438,0.325310264,0.390366266,0.392085972,0.335903252,0.320129587,0.354619771,0.874073968,0.328510637,0.323200581,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
8,0.38936016,0.38551713,0.287282426,0.341741383,0.34544457,0.333030249,0.389460633,0.392749085,0.312756937,0.322622205,0.336794375,0.960524181,0.335803473,0.323515529,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
9,0.38936016,0.38551713,0.286264105,0.34378859,0.337498333,0.342472641,0.391704582,0.398340794,0.314875483,0.347380667,0.337116135,1.002939823,0.324586524,0.338044645,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
10,0.38936016,0.38551713,0.287420666,0.346168897,0.339778856,0.341904444,0.391884412,0.393646539,0.307607807,0.323453693,0.344995155,1.04324731,0.32585622,0.326347234,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
11,0.38936016,0.38551713,0.2876722,0.346539941,0.335988946,0.328093303,0.392648537,0.394291052,0.324616278,0.325274956,0.33557931,0.884361471,0.331203377,0.326858228,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
12,0.38936016,0.38551713,0.2850742,0.353136625,0.336899028,0.33802135,0.389046554,0.393346378,0.288490633,0.326666729,0.315746229,1.010994931,0.327744103,0.32669545,0.28407573513705914,0.29130971206953626,0.2821688371999336,0.28250960540048925,0.28219387722708367,0.28938466219911607,0.28407573513705914,0.32394492039687917,0.32394492039687917,0.300821095734527,0.28323724542352524,0.2930242821788163
