Brasília;5;6;7;8;11;16;17;22;24;30;;2;3;5;7;10;16;17;22;27;30
Florianópolis;5;6;7;8;9;10;11;24;;;;3;9;10;11;14;19;21;22;24;27
Natal;8;9;14;15;16;21;22;23;24;30;;7;8;14;15;16;21;22;23;24;30
Petrolina;3;4;5;12;15;17;21;23;27;29;;9;17;;;;;;;;
São Luís;5;6;7;10;12;15;16;18;20;30;;3;9;11;12;15;16;18;20;28;
